1,0601102F,Defense Research Sciences,01,347833,361787,361787,373151,Basic Research
2,0601103F,University Research Initiatives,01,131957,141153,141153,138333,Basic Research
3,0601108F,High Energy Laser Research Initiatives,01,13819,13094,13094,13286,Basic Research
4,0602102F,Materials,02,142417,114166,114166,116846,Applied Research
5,0602201F,Aerospace Vehicle Technologies,02,145392,120719,120719,119672,Applied Research
6,0602202F,Human Effectiveness Applied Research,02,93034,89319,89319,89483,Applied Research
7,0602203F,Aerospace Propulsion,02,207768,232547,232547,197546,Applied Research
8,0602204F,Aerospace Sensors,02,136327,127637,127637,127539,Applied Research
9,0602601F,Space Technology,02,117986,98375,98375,104063,Applied Research
10,0602602F,Conventional Munitions,02,60725,77175,77175,81521,Applied Research
11,0602605F,Directed Energy Technology,02,139769,106196,106196,112845,Applied Research
12,0602788F,Dominant Information Sciences and Methods,02,139980,104362,104362,138161,Applied Research
13,0602890F,High Energy Laser Research,02,52186,38557,38557,40217,Applied Research
14,0603112F,Advanced Materials for Weapon Systems,03,60626,47890,47890,39572,Advanced Technology Development
15,0603199F,Sustainment Science and Technology (S&T),03,5618,6565,6565,12800,Advanced Technology Development
16,0603203F,Advanced Aerospace Sensors,03,119227,37657,37657,30579,Advanced Technology Development
17,0603211F,Aerospace Technology Dev/Demo,03,64544,81376,81376,77347,Advanced Technology Development
18,0603216F,Aerospace Propulsion and Power Technology,03,115725,151152,151152,149321,Advanced Technology Development
19,0603270F,Electronic Combat Technology,03,21896,32941,32941,49128,Advanced Technology Development
20,0603401F,Advanced Spacecraft Technology,03,70643,64557,64557,68071,Advanced Technology Development
21,0603444F,Maui Space Surveillance System (MSSS),03,13313,29256,29256,26299,Advanced Technology Development
22,0603456F,Human Effectiveness Advanced Technology Development,03,24082,21523,21523,20967,Advanced Technology Development
23,0603601F,Conventional Weapons Technology,03,44057,36352,36352,33996,Advanced Technology Development
24,0603605F,Advanced Weapons Technology,03,45823,19004,19004,19000,Advanced Technology Development
25,0603680F,Manufacturing Technology Program,03,39165,37045,37045,41353,Advanced Technology Development
26,0603788F,Battlespace Knowledge Development and Demonstration,03,36944,31419,31419,49093,Advanced Technology Development
28,0603260F,Intelligence Advanced Development,04,4013,3866,3866,3983,Advanced Component Development & Prototypes
29,0603287F,Physical Security Equipment,04,476,3704,3704,3874,Advanced Component Development & Prototypes
32,0603438F,Space Control Technology,04,43553,25144,25144,27024,Advanced Component Development & Prototypes
33,0603742F,Combat Identification Technology,04,37039,32243,32243,15899,Advanced Component Development & Prototypes
34,0603790F,NATO Research and Development,04,4424,4507,4507,4568,Advanced Component Development & Prototypes
35,0603791F,International Space Cooperative R&D,04,615,652,652,379,Advanced Component Development & Prototypes
36,0603830F,Space Protection Program (SPP),04,7074,10429,10429,28764,Advanced Component Development & Prototypes
38,0603851F,Intercontinental Ballistic Missile - Dem/Val,04,71824,71181,71181,86737,Advanced Component Development & Prototypes
40,0603859F,Pollution Prevention - Dem/Val,04,2300,2054,2054,953,Advanced Component Development & Prototypes
42,0604015F,Long Range Strike,04,289573,291742,291742,379437,Advanced Component Development & Prototypes
44,0604317F,Technology Transfer,04,2474,2576,2576,2606,Advanced Component Development & Prototypes
45,0604327F,Hard and Deeply Buried Target Defeat System (HDBTDS) Program,04,120838,16711,16711,103,Advanced Component Development & Prototypes
47,0604337F,Requirements Analysis and Maturation,04,22794,16343,16343,16018,Advanced Component Development & Prototypes
49,0604458F,Air & Space Ops Center,04,58861,Advanced Component Development & Prototypes
50,0604618F,Joint Direct Attack Munition,04,2500,Advanced Component Development & Prototypes
51,0604635F,Ground Attack Weapons Fuze Development,04,23729,9423,9423,21175,Advanced Component Development & Prototypes
53,0604858F,Tech Transition Program,04,2683,37558,37558,13636,Advanced Component Development & Prototypes
54,0105921F,Service Support to STRATCOM - Space Activities,04,2799,Advanced Component Development & Prototypes
55,0207455F,Three Dimensional Long-Range Radar (3DELRR),04,70160,Advanced Component Development & Prototypes
56,0305164F,NAVSTAR Global Positioning System (User Equipment) (SPACE),04,96840,96840,137233,Advanced Component Development & Prototypes
58,0603260F,Intelligence Advanced Development,05,977,System Development & Demonstration
61,0604233F,Specialized Undergraduate Flight Training,05,19725,6583,6583,3601,System Development & Demonstration
62,0604270F,Electronic Warfare Development,05,16397,1975,1975,1971,System Development & Demonstration
64,0604281F,Tactical Data Networks Enterprise,05,45104,24534,24534,51456,System Development & Demonstration
65,0604287F,Physical Security Equipment,05,51,51,51,50,System Development & Demonstration
66,0604329F,Small Diameter Bomb (SDB) - EMD,05,133902,143000,143000,115000,System Development & Demonstration
67,0604421F,Counterspace Systems,05,28946,28797,28797,23930,System Development & Demonstration
68,0604425F,Space Situation Awareness Systems,05,216212,267252,267252,400258,System Development & Demonstration
69,0604429F,Airborne Electronic Attack,05,31821,4118,4118,4575,System Development & Demonstration
70,0604441F,Space Based Infrared System (SBIRS) High EMD,05,621629,448594,448594,352532,System Development & Demonstration
71,0604602F,Armament/Ordnance Development,05,7755,9951,9951,16284,System Development & Demonstration
72,0604604F,Submunitions,05,2427,2567,2567,2564,System Development & Demonstration
73,0604617F,Agile Combat Support,05,7649,13059,13059,17036,System Development & Demonstration
74,0604706F,Life Support Systems,05,8017,9720,9720,7273,System Development & Demonstration
75,0604735F,Combat Training Ranges,05,7869,9222,9222,33200,System Development & Demonstration
78,0604800F,F-35 - EMD,05,1366147,1210306,1210306,816335,System Development & Demonstration
79,0604851F,Intercontinental Ballistic Missile - EMD,05,129728,135437,135437,145442,System Development & Demonstration
80,0604853F,Evolved Expendable Launch Vehicle Program (SPACE) - EMD,05,14081,7980,7980,27963,System Development & Demonstration
81,0604932F,Long Range Standoff Weapon,05,2004,2004,5000,System Development & Demonstration
82,0604933F,ICBM Fuze Modernization,05,73512,73512,129411,System Development & Demonstration
83,0605213F,F-22 Modernization Increment 3.2B,05,140100,140100,131100,System Development & Demonstration
84,0605221F,KC-46,05,818947,1815588,1815588,1558590,System Development & Demonstration
85,0605229F,CSAR HH-60 Recapitalization,05,11113,123210,123210,393558,System Development & Demonstration
86,0605278F,HC/MC-130 Recap RDT&E,05,21554,19039,19039,6242,System Development & Demonstration
87,0605431F,Advanced EHF MILSATCOM (SPACE),05,272872,System Development & Demonstration
88,0605432F,Polar MILSATCOM (SPACE),05,124805,System Development & Demonstration
89,0605433F,Wideband Global SATCOM (SPACE),05,13948,System Development & Demonstration
90,0605931F,B-2 Defensive Management System,05,281056,281056,303500,System Development & Demonstration
91,0101125F,Nuclear Weapons Modernization,05,91269,80200,80200,67874,System Development & Demonstration
94,0207701F,Full Combat Mission Training,05,28917,14861,14861,4663,System Development & Demonstration
97,0401318F,CV-22,05,12836,28027,28027,46705,System Development & Demonstration
99,0604256F,Threat Simulator Development,06,26473,22812,22812,17690,Management Support
100,0604759F,Major T&E Investment,06,60388,42236,42236,34841,Management Support
101,0605101F,RAND Project Air Force,06,32057,25579,25579,32956,Management Support
103,0605712F,Initial Operational Test & Evaluation,06,17754,16197,16197,13610,Management Support
104,0605807F,Test and Evaluation Support,06,737697,722071,722071,742658,Management Support
105,0605860F,Rocket Systems Launch Program (SPACE),06,146536,16200,16200,14203,Management Support
106,0605864F,Space Test Program (STP),06,44308,10051,10051,13000,Management Support
107,0605976F,Facilities Restoration and Modernization - Test and Evaluation Support,06,44547,42597,42597,44160,Management Support
108,0605978F,Facilities Sustainment - Test and Evaluation Support,06,27953,27301,27301,27643,Management Support
109,0606323F,Multi-Service Systems Engineering Initiative,06,13532,13964,13964,13935,Management Support
110,0606392F,Space and Missile Center (SMC) Civilian Workforce,06,158589,203766,203766,192348,Management Support
111,0702806F,Acquisition and Management Support,06,35830,42430,42430,28647,Management Support
112,0804731F,General Skill Training,06,1463,1294,1294,315,Management Support
114,1001004F,International Activities,06,3798,3851,3851,3785,Management Support
115,0603423F,Global Positioning System III - Operational Control Segment,07,352023,371595,371595,383500,Operational Systems Development
117,0604445F,Wide Area Surveillance,07,5000,Operational Systems Development
118,0605018F,AF Integrated Personnel and Pay System (AF-IPPS),07,78850,91697,91697,90097,Operational Systems Development
119,0605024F,Anti-Tamper Technology Executive Agency,07,35245,17037,17037,32086,Operational Systems Development
