1,0601103N,University Research Initiatives,01,126836,113690,113690,112617,Basic Research
2,0601152N,In-House Laboratory Independent Research,01,17642,18261,18261,18230,Basic Research
3,0601153N,Defense Research Sciences,01,446141,473070,473070,484459,Basic Research
4,0602114N,Power Projection Applied Research,02,98452,89189,89189,104513,Applied Research
5,0602123N,Force Protection Applied Research,02,194050,143301,143301,145307,Applied Research
6,0602131M,Marine Corps Landing Force Technology,02,43901,46528,46528,47334,Applied Research
7,0602235N,Common Picture Applied Research,02,70935,41696,41696,34163,Applied Research
8,0602236N,Warfighter Sustainment Applied Research,02,97107,44127,44127,49689,Applied Research
9,0602271N,Electromagnetic Systems Applied Research,02,104457,78228,78228,97701,Applied Research
10,0602435N,Ocean Warfighting Environment Applied Research,02,46891,49635,49635,45685,Applied Research
11,0602651M,Joint Non-Lethal Weapons Applied Research,02,4652,5973,5973,6060,Applied Research
12,0602747N,Undersea Warfare Applied Research,02,114251,96814,96814,103050,Applied Research
13,0602750N,Future Naval Capabilities Applied Research,02,162417,162417,169710,Applied Research
14,0602782N,Mine and Expeditionary Warfare Applied Research,02,37835,32394,32394,31326,Applied Research
15,0603114N,Power Projection Advanced Technology,03,103710,56543,56543,48201,Advanced Technology Development
16,0603123N,Force Protection Advanced Technology,03,41666,18616,18616,28328,Advanced Technology Development
19,0603271N,Electromagnetic Systems Advanced Technology,03,125674,54858,54858,56179,Advanced Technology Development
20,0603640M,USMC Advanced Technology Demonstration (ATD),03,120141,130598,130598,132400,Advanced Technology Development
21,0603651M,Joint Non-Lethal Weapons Technology Development,03,12035,11706,11706,11854,Advanced Technology Development
22,0603673N,Future Naval Capabilities Advanced Technology Development,03,256382,256382,247931,Advanced Technology Development
23,0603729N,Warfighter Protection Advanced Technology,03,55867,3880,3880,4760,Advanced Technology Development
25,0603758N,Navy Warfighting Experiments and Demonstrations,03,50062,51819,51819,51463,Advanced Technology Development
26,0603782N,Mine and Expeditionary Warfare Advanced Technology,03,5804,2000,Advanced Technology Development
27,0603207N,Air/Ocean Tactical Applications,04,46274,34085,34085,42246,Advanced Component Development & Prototypes
28,0603216N,Aviation Survivability,04,10720,8783,8783,5591,Advanced Component Development & Prototypes
29,0603237N,Deployable Joint Command and Control,04,3418,3773,3773,3262,Advanced Component Development & Prototypes
30,0603251N,Aircraft Systems,04,10040,24512,24512,74,Advanced Component Development & Prototypes
31,0603254N,ASW Systems Development,04,7610,8090,8090,7964,Advanced Component Development & Prototypes
32,0603261N,Tactical Airborne Reconnaissance,04,8294,5301,5301,5257,Advanced Component Development & Prototypes
33,0603382N,Advanced Combat Systems Technology,04,1107,1506,1506,1570,Advanced Component Development & Prototypes
34,0603502N,Surface and Shallow Water Mine Countermeasures,04,126760,190622,190622,168040,Advanced Component Development & Prototypes
35,0603506N,Surface Ship Torpedo Defense,04,122311,93346,93346,88649,Advanced Component Development & Prototypes
36,0603512N,Carrier Systems Development,04,61909,108871,108871,83902,Advanced Component Development & Prototypes
37,0603525N,PILOT FISH,04,98052,101169,101169,108713,Advanced Component Development & Prototypes
38,0603527N,RETRACT LARCH,04,80180,74312,74312,9316,Advanced Component Development & Prototypes
39,0603536N,RETRACT JUNIPER,04,120904,90730,90730,77108,Advanced Component Development & Prototypes
40,0603542N,Radiological Control,04,1312,777,777,762,Advanced Component Development & Prototypes
41,0603553N,Surface ASW,04,38943,6704,6704,2349,Advanced Component Development & Prototypes
42,0603561N,Advanced Submarine System Development,04,843646,555123,555123,852977,Advanced Component Development & Prototypes
