1,0601000BR,DTRA Basic Research Initiative,01,45837,Basic Research
2,0601101E,Defense Research Sciences,01,315033,Basic Research
3,0601110D8Z,Basic Research Initiatives,01,11171,Basic Research
4,0601117E,Basic Operational Medical Research Science,01,49500,Basic Research
5,0601120D8Z,National Defense Education Program,01,84271,Basic Research
6,0601228D8Z,Historically Black Colleges and Universities/Minority Institutions,01,30895,Basic Research
7,0601384BP,Chemical and Biological Defense Program,01,51426,Basic Research
8,0602000D8Z,Joint Munitions Technology,02,20065,Applied Research
9,0602115E,Biomedical Technology,02,114790,Applied Research
11,0602234D8Z,Lincoln Laboratory Research Program,02,46875,Applied Research
13,0602251D8Z,Applied Research for the Advancement of S&T Priorities,02,45000,Applied Research
14,0602303E,Information & Communications Technology,02,413260,Applied Research
15,0602304E,Cognitive Computing Systems,02,16330,Applied Research
17,0602383E,Biological Warfare Defense,02,24537,Applied Research
18,0602384BP,Chemical and Biological Defense Program,02,227065,Applied Research
20,0602668D8Z,Cyber Security Research,02,18908,Applied Research
22,0602702E,Tactical Technology,02,225977,Applied Research
23,0602715E,Materials and Biological Technology,02,166654,Applied Research
24,0602716E,Electronics Technology,02,243469,Applied Research
25,0602718BR,Weapons of Mass Destruction Defeat Technologies,02,175282,Applied Research
26,0602751D8Z,Software Engineering Institute (SEI) Applied Research,02,11107,Applied Research
27,1160401BB,Special Operations Technology Development,02,29246,Applied Research
28,0603000D8Z,Joint Munitions Advanced Technology,03,26646,Advanced Technology Development
29,0603121D8Z,SO/LIC Advanced Development,03,19420,Advanced Technology Development
30,0603122D8Z,Combating Terrorism Technology Support,03,77792,Advanced Technology Development
31,0603160BR,Counterproliferation Initiatives - Proliferation Prevention and Defeat,03,274033,Advanced Technology Development
32,0603175C,Ballistic Missile Defense Technology,03,309203,Advanced Technology Development
34,0603225D8Z,Joint DoD-DoE Munitions Technology Development,03,19305,Advanced Technology Development
35,0603264S,Agile Transportation for the,21st,7565,Advanced Technology Development
36,0603274C,Special Program - MDA Technology,03,40426,Advanced Technology Development
37,0603286E,Advanced Aerospace Systems,03,149804,Advanced Technology Development
38,0603287E,Space Programs and Technology,03,172546,Advanced Technology Development
39,0603384BP,Chemical and Biological Defense Program - Advanced Development,03,170847,Advanced Technology Development
40,0603618D8Z,Joint Electronic Advanced Technology,03,9009,Advanced Technology Development
41,0603648D8Z,Joint Capability Technology Demonstrations,03,174428,Advanced Technology Development
42,0603662D8Z,Networked Communications Capabilities,03,20000,Advanced Technology Development
45,0603668D8Z,Cyber Security Advanced Research,03,19668,Advanced Technology Development
47,0603680D8Z,Defense-Wide Manufacturing Science and Technology Program,03,34041,Advanced Technology Development
48,0603699D8Z,Emerging Capabilities Technology Development,03,61971,Advanced Technology Development
50,0603712S,Generic Logistics R&D Technology Demonstrations,03,20000,Advanced Technology Development
51,0603713S,Deployment and Distribution Enterprise Technology,03,30256,Advanced Technology Development
52,0603716D8Z,Strategic Environmental Research Program,03,72324,Advanced Technology Development
53,0603720S,Microelectronics Technology Development and Support,03,82700,Advanced Technology Development
54,0603727D8Z,Joint Warfighting Program,03,8431,Advanced Technology Development
55,0603739E,Advanced Electronics Technologies,03,117080,Advanced Technology Development
57,0603760E,Command Control and Communications Systems,03,239078,Advanced Technology Development
59,0603766E,Network-Centric Warfare Technology,03,259006,Advanced Technology Development
60,0603767E,Sensor Technology,03,286364,Advanced Technology Development
61,0603769SE,Distributed Learning Advanced Technology Development,03,12116,Advanced Technology Development
62,0603781D8Z,Software Engineering Institute,03,19008,Advanced Technology Development
63,0603826D8Z,Quick Reaction Special Projects,03,78532,Advanced Technology Development
65,0603828J,Joint Experimentation,03,12667,Advanced Technology Development
66,0603832D8Z,DoD Modeling and Simulation Management Office,03,41370,Advanced Technology Development
69,0603941D8Z,Test & Evaluation Science & Technology,03,92508,Advanced Technology Development
70,0604055D8Z,Operational Energy Capability Improvement,03,52001,Advanced Technology Development
71,0303310D8Z,CWMD Systems,03,52053,Advanced Technology Development
72,1160402BB,Special Operations Advanced Technology Development,03,46809,Advanced Technology Development
75,0603161D8Z,Nuclear and Conventional Physical Security Equipment RDT&E ADC&P,04,63641,Advanced Component Development And Prototypes
76,0603527D8Z,RETRACT LARCH,04,19152,Advanced Component Development And Prototypes
77,0603600D8Z,WALKOFF,04,70763,Advanced Component Development And Prototypes
79,0603714D8Z,Advanced Sensors Application Program,04,17230,Advanced Component Development And Prototypes
80,0603851D8Z,Environmental Security Technical Certification Program,04,71453,Advanced Component Development And Prototypes
81,0603881C,Ballistic Missile Defense Terminal Defense Segment,04,268990,Advanced Component Development And Prototypes
82,0603882C,Ballistic Missile Defense Midcourse Defense Segment,04,1033903,Advanced Component Development And Prototypes
83,0603884BP,Chemical and Biological Defense Program - Dem/Val,04,196237,Advanced Component Development And Prototypes
84,0603884C,Ballistic Missile Defense Sensors,04,315183,Advanced Component Development And Prototypes
86,0603890C,BMD Enabling Programs,04,377605,Advanced Component Development And Prototypes
87,0603891C,Special Programs - MDA,04,286613,Advanced Component Development And Prototypes
88,0603892C,AEGIS BMD,04,937056,Advanced Component Development And Prototypes
89,0603893C,Space Tracking & Surveillance System,04,44947,Advanced Component Development And Prototypes
