1,0601103N,University Research Initiatives,01,112617,Basic Research
2,0601152N,In-House Laboratory Independent Research,01,18230,Basic Research
3,0601153N,Defense Research Sciences,01,484459,Basic Research
4,0602114N,Power Projection Applied Research,02,104513,Applied Research
5,0602123N,Force Protection Applied Research,02,145307,Applied Research
6,0602131M,Marine Corps Landing Force Technology,02,47334,Applied Research
7,0602235N,Common Picture Applied Research,02,34163,Applied Research
8,0602236N,Warfighter Sustainment Applied Research,02,49689,Applied Research
9,0602271N,Electromagnetic Systems Applied Research,02,97701,Applied Research
10,0602435N,Ocean Warfighting Environment Applied Research,02,45685,Applied Research
11,0602651M,Joint Non-Lethal Weapons Applied Research,02,6060,Applied Research
12,0602747N,Undersea Warfare Applied Research,02,103050,Applied Research
13,0602750N,Future Naval Capabilities Applied Research,02,169710,Applied Research
14,0602782N,Mine and Expeditionary Warfare Applied Research,02,31326,Applied Research
15,0603114N,Power Projection Advanced Technology,03,48201,Advanced Technology Development
16,0603123N,Force Protection Advanced Technology,03,28328,Advanced Technology Development
19,0603271N,Electromagnetic Systems Advanced Technology,03,56179,Advanced Technology Development
20,0603640M,USMC Advanced Technology Demonstration (ATD),03,132400,Advanced Technology Development
21,0603651M,Joint Non-Lethal Weapons Technology Development,03,11854,Advanced Technology Development
22,0603673N,Future Naval Capabilities Advanced Technology Development,03,247931,Advanced Technology Development
23,0603729N,Warfighter Protection Advanced Technology,03,4760,Advanced Technology Development
25,0603758N,Navy Warfighting Experiments and Demonstrations,03,51463,Advanced Technology Development
26,0603782N,Mine and Expeditionary Warfare Advanced Technology,03,2000,Advanced Technology Development
27,0603207N,Air/Ocean Tactical Applications,04,42246,Advanced Component Development & Prototypes
28,0603216N,Aviation Survivability,04,5591,Advanced Component Development & Prototypes
29,0603237N,Deployable Joint Command and Control,04,3262,Advanced Component Development & Prototypes
30,0603251N,Aircraft Systems,04,74,Advanced Component Development & Prototypes
31,0603254N,ASW Systems Development,04,7964,Advanced Component Development & Prototypes
32,0603261N,Tactical Airborne Reconnaissance,04,5257,Advanced Component Development & Prototypes
33,0603382N,Advanced Combat Systems Technology,04,1570,Advanced Component Development & Prototypes
34,0603502N,Surface and Shallow Water Mine Countermeasures,04,168040,Advanced Component Development & Prototypes
35,0603506N,Surface Ship Torpedo Defense,04,88649,Advanced Component Development & Prototypes
36,0603512N,Carrier Systems Development,04,83902,Advanced Component Development & Prototypes
37,0603525N,PILOT FISH,04,108713,Advanced Component Development & Prototypes
38,0603527N,RETRACT LARCH,04,9316,Advanced Component Development & Prototypes
39,0603536N,RETRACT JUNIPER,04,77108,Advanced Component Development & Prototypes
40,0603542N,Radiological Control,04,762,Advanced Component Development & Prototypes
41,0603553N,Surface ASW,04,2349,Advanced Component Development & Prototypes
42,0603561N,Advanced Submarine System Development,04,852977,Advanced Component Development & Prototypes
43,0603562N,Submarine Tactical Warfare Systems,04,8764,Advanced Component Development & Prototypes
44,0603563N,Ship Concept Advanced Design,04,20501,Advanced Component Development & Prototypes
45,0603564N,Ship Preliminary Design & Feasibility Studies,04,27052,Advanced Component Development & Prototypes
46,0603570N,Advanced Nuclear Power Systems,04,428933,Advanced Component Development & Prototypes
47,0603573N,Advanced Surface Machinery Systems,04,27154,Advanced Component Development & Prototypes
48,0603576N,CHALK EAGLE,04,519140,Advanced Component Development & Prototypes
49,0603581N,Littoral Combat Ship (LCS),04,406389,Advanced Component Development & Prototypes
50,0603582N,Combat System Integration,04,36570,Advanced Component Development & Prototypes
51,0603609N,Conventional Munitions,04,8404,Advanced Component Development & Prototypes
52,0603611M,Marine Corps Assault Vehicles,04,136967,Advanced Component Development & Prototypes
53,0603635M,Marine Corps Ground Combat/Support System,04,1489,Advanced Component Development & Prototypes
54,0603654N,Joint Service Explosive Ordnance Development,04,38422,Advanced Component Development & Prototypes
55,0603658N,Cooperative Engagement,04,69312,Advanced Component Development & Prototypes
56,0603713N,Ocean Engineering Technology Development,04,9196,Advanced Component Development & Prototypes
57,0603721N,Environmental Protection,04,18850,Advanced Component Development & Prototypes
58,0603724N,Navy Energy Program,04,45618,Advanced Component Development & Prototypes
59,0603725N,Facilities Improvement,04,3019,Advanced Component Development & Prototypes
60,0603734N,CHALK CORAL,04,144951,Advanced Component Development & Prototypes
61,0603739N,Navy Logistic Productivity,04,5797,Advanced Component Development & Prototypes
62,0603746N,RETRACT MAPLE,04,308131,Advanced Component Development & Prototypes
63,0603748N,LINK PLUMERIA,04,195189,Advanced Component Development & Prototypes
64,0603751N,RETRACT ELM,04,56358,Advanced Component Development & Prototypes
65,0603764N,LINK EVERGREEN,04,55378,Advanced Component Development & Prototypes
66,0603787N,Special Processes,04,48842,Advanced Component Development & Prototypes
67,0603790N,NATO Research and Development,04,7509,Advanced Component Development & Prototypes
68,0603795N,Land Attack Technology,04,5075,Advanced Component Development & Prototypes
69,0603851M,Joint Non-Lethal Weapons Testing,04,51178,Advanced Component Development & Prototypes
70,0603860N,Joint Precision Approach and Landing Systems - Dem/Val,04,205615,Advanced Component Development & Prototypes
72,0604272N,Tactical Air Directional Infrared Countermeasures (TADIRCM),04,37227,Advanced Component Development & Prototypes
73,0604279N,ASE Self-Protection Optimization,04,169,Advanced Component Development & Prototypes
74,0604653N,Joint Counter Radio Controlled IED Electronic Warfare (JCREW),04,20874,Advanced Component Development & Prototypes
75,0604659N,Precision Strike Weapons Development Program,04,2257,Advanced Component Development & Prototypes
76,0604707N,Space and Electronic Warfare (SEW) Architecture/Engineering Support,04,38327,Advanced Component Development & Prototypes
77,0604786N,Offensive Anti-Surface Warfare Weapon Development,04,135985,Advanced Component Development & Prototypes
78,0605812M,Joint Light Tactical Vehicle (JLTV) Engineering/Man.,04,50362,Advanced Component Development & Prototypes
79,0303354N,ASW Systems Development - MIP,04,8448,Advanced Component Development & Prototypes
80,0304270N,Electronic Warfare Development - MIP,04,153,Advanced Component Development & Prototypes
81,0604212N,Other Helo Development,05,40558,System Development & Demonstration
82,0604214N,AV-8B Aircraft - Eng Dev,05,35825,System Development & Demonstration
83,0604215N,Standards Development,05,99891,System Development & Demonstration
84,0604216N,Multi-Mission Helicopter Upgrade Development,05,17565,System Development & Demonstration
85,0604218N,Air/Ocean Equipment Engineering,05,4026,System Development & Demonstration
86,0604221N,P-3 Modernization Program,05,1791,System Development & Demonstration
87,0604230N,Warfare Support System,05,11725,System Development & Demonstration
88,0604231N,Tactical Command System,05,68463,System Development & Demonstration
89,0604234N,Advanced Hawkeye,05,152041,System Development & Demonstration
90,0604245N,H-1 Upgrades,05,47123,System Development & Demonstration
91,0604261N,Acoustic Search Sensors,05,30208,System Development & Demonstration
92,0604262N,V-22A,05,43084,System Development & Demonstration
93,0604264N,Air Crew Systems Development,05,11401,System Development & Demonstration
94,0604269N,EA-18,05,11138,System Development & Demonstration
95,0604270N,Electronic Warfare Development,05,34964,System Development & Demonstration
96,0604273N,VH-71A Executive Helo Development,05,94238,System Development & Demonstration
97,0604274N,Next Generation Jammer (NGJ),05,257796,System Development & Demonstration
98,0604280N,Joint Tactical Radio System - Navy (JTRS-Navy),05,3302,System Development & Demonstration
99,0604307N,Surface Combatant Combat System Engineering,05,240298,System Development & Demonstration
100,0604311N,LPD-17 Class Systems Integration,05,1214,System Development & Demonstration
